Rank,Name,Platform,Year,Publisher,Global_Sales
#COMPASS,"$281,000,000",Mobile,NHN PlayArt / Dwango,"December 17, 2016",MOBA
Raid: Shadow Legends,"$247,000,000",Mobile,Plarium,"July 29, 2018",RPG
Star Trek Fleet Command,"$222,000,000",Mobile,Scopely / CBS Interactive,"November 29, 2018",Strategy (4X)
Project Makeover,"$218,000,000",Mobile,Bubblegum Games,"November 27, 2020",Puzzle / Decoration
Harry Potter: Puzzles & Spells,"$218,000,000",Mobile,Portkey Games / Zynga,"September 22, 2020",Puzzle
DomiNations,"$200,000,000",Mobile,Big Huge Games,"April 1, 2015",Strategy
Candy Crush Friends Saga,"$200,000,000",Mobile,King (Activision Blizzard),"October 10, 2018",Puzzle
Blue Archive,"$200,000,000",Mobile,Nexon,"February 4, 2021",RPG
Top War,"$192,000,000",Mobile,Topwar Studio,"December 31, 2019",Strategy
Empire & Puzzles,"$186,000,000",Mobile,Small Giant Games,"March 1, 2017",Puzzle / RPG
Goddess of Victory: NIKKE,"$170,000,000",Mobile,Level Infinite,"November 4, 2022",Shoot 'em up / RPG
KartRider Rush+,"$169,000,000",Mobile,Nexon,"May 31, 2020",Racing (Kart)
Dragalia Lost,"$168,000,000",Mobile,Nintendo,"September 27, 2018",Action RPG
Perfect World Mobile,"$165,000,000",Mobile,Perfect World Games / Tencent,"March 5, 2019",MMORPG
Three Kingdoms Fantasy Land,"$161,600,000",Mobile,Alibaba Group,"June 20, 2020",Strategy (auto battler)
Candy Crush Jelly Saga,"$158,000,000",Mobile,King (Activision Blizzard),"August 28, 2015",Puzzle
Jikkyō Powerful Pro Yakyū,"$155,000,000",Mobile,Konami,"December 18, 2014",Sports (baseball)
Puzzles & Survival,"$151,000,000",Mobile,37Games,"October 2, 2020",Puzzle / Strategy
Slotomania,"$149,000,000",Mobile,Playtika,"November 7, 2011",Simulation (Slot)
NBA Live Mobile,"$140,000,000",Mobile,EA Sports (Electronic Arts),"July 6, 2016",Sports (basketball)
White Cat Project,"$134,000,000",Mobile,Colopl,"July 14, 2014",Action RPG
BanG Dream! Girls Band Party!,"$124,050,000",Mobile,Bushiroad,"March 16, 2017",Rhythm / Adventure
CSR Racing 2,"$121,500,000",Mobile,NaturalMotion (Zynga),"June 29, 2016",Racing
One Piece: Burning Will,"$117,000,000",Mobile,Bandai Namco / Alibaba Group,"September 20, 2018",RPG
One Piece: The Road of the Strong,"$113,840,000",Mobile,CMGE,"January 15, 2016",DCCG
Yahtzee With Buddies,"$113,000,000",Mobile,Scopely,"November 1, 2017",Yahtzee
Dragon Quest Tact,"$111,990,000",Mobile,Square Enix,"July 16, 2020",Tactical RPG
Fallout Shelter,"$100,000,000",Mobile,Bethesda Softworks,"June 14, 2015",Simulation (CMS)
Mafia City,"$100,000,000",Mobile,Yotta Games,"July 25, 2017",RPG
Madden NFL Overdrive,"$100,000,000",Mobile,EA Sports (Electronic Arts),"August 15, 2018",Sports (American football)
